Orthogroup	antismash	busco	CARD	cazy	led	MEROPS	Pfam	virulence
OG0000218	False	False	False	False	False	False	True	False
OG0000219	False	False	False	False	False	False	NA	False
OG0000220	True	False	True	False	False	False	True	False
OG0000221	False	False	False	True	True	False	True	True
OG0000222	True	False	False	False	False	False	True	True
OG0000223	True	False	True	False	False	True	True	False
OG0000224	True	False	False	False	True	False	NA	True
OG0000225	False	False	False	False	False	False	True	False
OG0000226	True	False	False	False	False	False	True	True
OG0000227	False	False	True	False	True	False	True	False
OG0000228	True	False	False	False	True	False	True	False
OG0000229	False	False	False	False	False	False	True	False
OG0000230	False	False	False	False	False	False	True	False
OG0000231	False	False	False	False	False	False	True	False
OG0000232	False	False	False	False	False	True	True	False
OG0000233	False	False	False	False	True	True	True	True
OG0000234	True	False	False	False	False	False	True	False
OG0000235	True	False	False	False	False	False	True	False
OG0000236	False	False	False	False	True	False	True	False
OG0000237	True	False	False	False	False	False	True	False
OG0000238	False	False	True	False	True	False	True	True
OG0000239	False	False	True	False	False	False	True	True
OG0000240	True	False	False	False	False	False	True	False
OG0000241	False	False	False	False	False	False	True	False
OG0000242	False	False	False	False	False	False	True	True
OG0000243	False	False	False	True	False	False	True	True
OG0000244	False	False	False	False	False	False	True	False
OG0000245	False	True	False	False	False	False	True	False
OG0000246	False	True	False	False	False	False	True	True
OG0000247	False	False	False	True	False	False	True	False
OG0000248	False	False	False	False	False	False	True	False
OG0000249	False	False	True	False	True	True	True	True
OG0000250	False	False	True	False	True	False	True	False
OG0000251	True	False	False	False	True	False	True	False
OG0000252	False	False	False	True	True	False	True	False
OG0000253	False	False	False	False	False	False	True	True
OG0000254	False	False	False	False	True	False	True	False
OG0000255	False	True	False	False	False	False	True	True
OG0000256	True	False	False	False	False	False	True	False
OG0000257	True	False	False	False	False	False	True	False
OG0000258	False	False	True	False	False	False	True	False
OG0000259	True	False	False	False	True	True	True	False
OG0000260	False	False	False	False	False	False	True	False
OG0000261	False	True	False	False	False	False	True	False
OG0000262	False	False	False	False	True	False	NA	False
OG0000263	True	False	False	False	False	False	True	False
OG0000264	False	False	False	True	False	False	True	False
OG0000265	False	False	False	False	False	False	True	True
OG0000266	True	False	False	False	False	False	True	True
OG0000267	True	False	False	False	True	False	True	False
OG0000268	True	False	False	True	False	False	True	True
OG0000269	True	False	False	True	False	False	NA	False
OG0000270	True	False	False	False	False	False	True	True
OG0000271	False	True	False	False	True	False	True	True
OG0000272	True	False	True	False	False	False	True	True
OG0000273	False	False	False	False	False	False	True	False
OG0000274	True	False	True	False	True	False	True	True
OG0000275	True	False	False	False	False	False	True	False
OG0000276	False	False	False	False	False	False	True	False
OG0000277	True	False	False	False	False	False	True	False
OG0000278	True	False	True	False	True	False	True	True
OG0000279	False	False	False	False	True	False	True	False
OG0000280	False	False	False	True	False	False	True	True
OG0000281	False	False	False	False	False	False	True	False
OG0000282	False	False	False	False	False	False	True	False
OG0000283	False	False	False	False	False	False	True	True
OG0000284	True	False	False	False	True	False	True	True
OG0000285	False	True	False	False	False	False	True	False
OG0000286	True	False	True	False	False	False	True	False
OG0000287	False	True	False	True	False	False	True	True
OG0000288	False	False	False	False	False	False	True	False
OG0000289	True	False	False	False	False	False	True	False
OG0000290	True	False	True	False	True	False	True	True
OG0000291	True	False	False	False	False	False	True	False
OG0000292	True	False	False	False	False	False	True	False
