clade_groups,Agriculture,orthology_meta,genome_count
Escovopsis,Coral,OG0000383,5
Escovopsis,Coral,OG0000384,6
Escovopsis,Coral,OG0000385,6
Escovopsis,Coral,OG0000386,6
Escovopsis,Coral,OG0000387,6
Escovopsis,Coral,OG0000390,5
Escovopsis,Coral,OG0000392,6
Escovopsis,Coral,OG0000393,5
Escovopsis,Coral,OG0000394,6
Escovopsis,Coral,OG0000396,6
Escovopsis,Coral,OG0000399,6
Escovopsis,Coral,OG0000400,6
Escovopsis,Coral,OG0000401,6
Escovopsis,Coral,OG0000402,6
Escovopsis,Coral,OG0000403,6
Escovopsis,Coral,OG0000404,6
Escovopsis,Coral,OG0000405,6
Escovopsis,Coral,OG0000406,6
Escovopsis,Coral,OG0000408,6
Escovopsis,Coral,OG0000409,6
Escovopsis,Coral,OG0000410,6
Escovopsis,Coral,OG0000412,5
Escovopsis,Coral,OG0000413,6
Escovopsis,Coral,OG0000414,6
Escovopsis,Coral,OG0000419,6
Escovopsis,Coral,OG0000420,6
Escovopsis,Coral,OG0000421,6
Escovopsis,Coral,OG0000422,6
Escovopsis,Coral,OG0000423,6
Escovopsis,Coral,OG0000424,6
Escovopsis,Coral,OG0000425,5
Escovopsis,Coral,OG0000426,6
Escovopsis,Coral,OG0000429,6
Escovopsis,Coral,OG0000430,5
Escovopsis,Coral,OG0000431,6
Escovopsis,Coral,OG0000432,6
Escovopsis,Coral,OG0000434,6
Escovopsis,Coral,OG0000435,6
Escovopsis,Coral,OG0000436,6
Escovopsis,Coral,OG0000437,6
Escovopsis,Coral,OG0000438,6
Escovopsis,Coral,OG0000440,5
Escovopsis,Coral,OG0000441,6
Escovopsis,Coral,OG0000442,6
Escovopsis,Coral,OG0000445,5
Escovopsis,Coral,OG0000446,6
Escovopsis,Coral,OG0000448,5
Escovopsis,Coral,OG0000449,6
Escovopsis,Coral,OG0000450,6
Escovopsis,Coral,OG0000451,5
Escovopsis,Coral,OG0000454,5
Escovopsis,Coral,OG0000455,6
Escovopsis,Coral,OG0000456,6
Escovopsis,Coral,OG0000457,6
Escovopsis,Coral,OG0000459,5
Escovopsis,Coral,OG0000460,6
Escovopsis,Coral,OG0000461,6
Escovopsis,Coral,OG0000462,6
Escovopsis,Coral,OG0000463,5
Escovopsis,Coral,OG0000464,5
Escovopsis,Coral,OG0000466,6
Escovopsis,Coral,OG0000467,6
Escovopsis,Coral,OG0000468,6
Escovopsis,Coral,OG0000469,6
Escovopsis,Coral,OG0000470,6
Escovopsis,Coral,OG0000471,6
Escovopsis,Coral,OG0000472,6
Escovopsis,Coral,OG0000473,6
Escovopsis,Coral,OG0000474,6
Escovopsis,Coral,OG0000475,6
Escovopsis,Coral,OG0000476,6
Escovopsis,Coral,OG0000478,6
Escovopsis,Coral,OG0000479,6
Escovopsis,Coral,OG0000480,6
Escovopsis,Coral,OG0000481,6
Escovopsis,Coral,OG0000482,6
Escovopsis,Coral,OG0000485,6
Escovopsis,Coral,OG0000486,5
Escovopsis,Coral,OG0000489,6
Escovopsis,Coral,OG0000490,6
Escovopsis,Coral,OG0000492,6
Escovopsis,Coral,OG0000494,6
Escovopsis,Coral,OG0000495,6
Escovopsis,Coral,OG0000496,6
Escovopsis,Coral,OG0000497,6
Escovopsis,Coral,OG0000499,5
Escovopsis,Coral,OG0000500,6
Escovopsis,Coral,OG0000502,6
Escovopsis,Coral,OG0000503,6
Escovopsis,Coral,OG0000504,5
Escovopsis,Coral,OG0000505,6
Escovopsis,Coral,OG0000506,6
Escovopsis,Coral,OG0000507,6
Escovopsis,Coral,OG0000508,6
Escovopsis,Coral,OG0000510,6
Escovopsis,Coral,OG0000511,6
Escovopsis,Coral,OG0000512,6
Escovopsis,Coral,OG0000513,5
Escovopsis,Coral,OG0000514,5
Escovopsis,Coral,OG0000516,6
Escovopsis,Coral,OG0000517,6
Escovopsis,Coral,OG0000519,6
Escovopsis,Coral,OG0000520,6
Escovopsis,Coral,OG0000522,6
Escovopsis,Coral,OG0000523,6
Escovopsis,Coral,OG0000524,6
Escovopsis,Coral,OG0000526,5
Escovopsis,Coral,OG0000527,6
Escovopsis,Coral,OG0000528,6
Escovopsis,Coral,OG0000529,6
Escovopsis,Coral,OG0000530,5
Escovopsis,Coral,OG0000531,6
Escovopsis,Coral,OG0000532,6
Escovopsis,Coral,OG0000533,6
Escovopsis,Coral,OG0000534,6
Escovopsis,Coral,OG0000535,6
Escovopsis,Coral,OG0000536,5
Escovopsis,Coral,OG0000537,5
Escovopsis,Coral,OG0000540,6
Escovopsis,Coral,OG0000541,6
Escovopsis,Coral,OG0000542,6
Escovopsis,Coral,OG0000543,6
Escovopsis,Coral,OG0000545,6
Escovopsis,Coral,OG0000546,6
Escovopsis,Coral,OG0000547,6
Escovopsis,Coral,OG0000548,6
Escovopsis,Coral,OG0000549,6
Escovopsis,Coral,OG0000550,6
Escovopsis,Coral,OG0000551,6
Escovopsis,Coral,OG0000552,6
Escovopsis,Coral,OG0000553,6
Escovopsis,Coral,OG0000554,6
Escovopsis,Coral,OG0000556,6
Escovopsis,Coral,OG0000557,6
Escovopsis,Coral,OG0000558,6
Escovopsis,Coral,OG0000560,6
Escovopsis,Coral,OG0000561,6
Escovopsis,Coral,OG0000562,6
Escovopsis,Coral,OG0000563,6
Escovopsis,Coral,OG0000564,6
Escovopsis,Coral,OG0000565,6
Escovopsis,Coral,OG0000566,6
Escovopsis,Coral,OG0000567,6
Escovopsis,Coral,OG0000568,6
Escovopsis,Coral,OG0000569,6
Escovopsis,Coral,OG0000573,6
Escovopsis,Coral,OG0000575,6
Escovopsis,Coral,OG0000577,6
Escovopsis,Coral,OG0000578,6
Escovopsis,Coral,OG0000579,6
Escovopsis,Coral,OG0000580,6
Escovopsis,Coral,OG0000581,6
Escovopsis,Coral,OG0000582,6
Escovopsis,Coral,OG0000583,5
Escovopsis,Coral,OG0000584,6
Escovopsis,Coral,OG0000585,6
Escovopsis,Coral,OG0000586,6
Escovopsis,Coral,OG0000587,6
Escovopsis,Coral,OG0000588,6
Escovopsis,Coral,OG0000589,5
Escovopsis,Coral,OG0000592,6
Escovopsis,Coral,OG0000593,5
Escovopsis,Coral,OG0000595,5
Escovopsis,Coral,OG0000597,5
Escovopsis,Coral,OG0000598,5
Escovopsis,Coral,OG0000599,6
Escovopsis,Coral,OG0000600,6
Escovopsis,Coral,OG0000601,6
Escovopsis,Coral,OG0000602,6
Escovopsis,Coral,OG0000603,6
Escovopsis,Coral,OG0000604,6
Escovopsis,Coral,OG0000605,6
Escovopsis,Coral,OG0000607,6
Escovopsis,Coral,OG0000608,6
Escovopsis,Coral,OG0000609,6
Escovopsis,Coral,OG0000610,6
Escovopsis,Coral,OG0000611,6
Escovopsis,Coral,OG0000613,5
Escovopsis,Coral,OG0000615,6
Escovopsis,Coral,OG0000616,6
Escovopsis,Coral,OG0000617,6
Escovopsis,Coral,OG0000618,6
Escovopsis,Coral,OG0000619,6
Escovopsis,Coral,OG0000621,6
Escovopsis,Coral,OG0000624,6
Escovopsis,Coral,OG0000626,5
Escovopsis,Coral,OG0000627,6
Escovopsis,Coral,OG0000628,6
Escovopsis,Coral,OG0000629,6
Escovopsis,Coral,OG0000630,6
