Orthogroup,group,group_n,NMDS1,NMDS2,NMDS3,NMDS4,BGC,Resistance,CAZyme,Lipase,Peptidase,Signaling,Virulence
OG0004351,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.14889900672152995,-0.82535358194006,0.8688954344782149,-0.30613480375582575,0,0,0,0,0,0,1
OG0004375,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.9031996259661865,0.6315791428679032,0.052871747307355596,0.01927543215667216,0,0,0,0,0,1,0
OG0004400,"AllOutgroup,Coral,Higher,Leafcutter",5,0.827133885932673,0.2771370403911232,-0.06684587009984458,0.03562366355509984,1,0,0,0,0,0,0
OG0004409,"AllOutgroup,Coral,Higher,Leafcutter",5,0.8271358066757547,0.2771352108397413,-0.06683982491487449,0.03564883220051394,1,0,0,0,0,0,0
OG0004417,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.9031996262377728,0.6315792215713534,0.05287170524212354,0.019275904099754076,0,0,0,0,0,1,0
OG0004462,"AllOutgroup,Coral,Higher,Leafcutter",5,0.8271450637192694,0.27712654272627973,-0.06681045958723117,0.03577005915683726,1,0,0,0,0,0,0
OG0004469,"AllOutgroup,Coral,Higher,Leafcutter",5,0.8271608036257299,0.27711366134076443,-0.06675830256913619,0.03597633898497755,1,0,0,0,0,0,0
OG0004479,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.3660322801503616,-0.7690613775266381,-0.8854409399130009,0.20583273015729198,0,0,0,1,0,0,0
OG0004487,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.729136481030751,-0.05069298167290141,-0.4903593522410424,0.11035240299760761,0,0,0,1,0,1,0
OG0004577,"AllOutgroup,Coral,Higher,Leafcutter",5,0.8271443503270036,0.2771271908908795,-0.06681274801333198,0.03576072168660333,1,0,0,0,0,0,0
OG0004578,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.7291364810370172,-0.05069298166092883,-0.49035935233984834,0.11035240256121595,0,0,0,1,0,1,0
OG0004597,"Coral,Higher,Leafcutter,Lower",11,0.420047444502352,-0.2592717341671231,0.4582309436281257,-0.2135042063768708,1,0,0,0,0,0,1
OG0004602,"AllOutgroup,Higher,Leafcutter,Lower",1,0.4200474149008979,-0.25927178921247757,0.45823099913702225,-0.21350422723767018,1,0,0,0,0,0,1
OG0004625,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.628382098437607,-0.0715103778515882,0.5301579845373731,-0.23701943482559024,0,0,0,0,0,1,1
OG0004629,"AllOutgroup,Coral,Higher,Leafcutter",5,0.3018323277821569,-0.24600634370980848,-0.5582624576908704,0.1220145642592371,1,0,0,1,0,0,0
OG0004635,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.3084463308297996,-0.9167108422256076,-0.032432846330138515,-0.10658538442963428,0,0,0,1,0,0,1
OG0004648,"AllOutgroup,Coral,Higher,Leafcutter",5,0.8271577571105194,0.2771160833477247,-0.06676849708777878,0.03593638261051768,1,0,0,0,0,0,0
OG0004684,"AllOutgroup,Coral,Higher,Leafcutter",5,0.8271345921677968,0.27713636778942574,-0.06684364770889097,0.0356329162843697,1,0,0,0,0,0,0
OG0004695,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.015073625524916267,0.5549353638027186,-0.0028455446697156416,0.03687569813885778,1,0,0,0,0,1,0
OG0004726,"AllOutgroup,Coral,Higher,Leafcutter",5,0.4200474154591945,-0.25927178817429897,0.45823099809010165,-0.21350422684422654,1,0,0,0,0,0,1
OG0004738,"AllOutgroup,Coral,Higher,Lower",6,-0.07157731428949943,0.1262707242672519,0.421113693339699,-0.1545877940264168,1,0,0,0,0,1,1
